Core,ppm,Intensity,Width,Area,Flags
94,7.08,0.2,56.21,112.89,None
94,6.57,0.1,1.54,2.53,None
94,6.55,0.1,1.59,2.75,None
94,6.2,0.1,2.12,2.06,None
94,6.18,0.1,2.32,2.6,None
94,4.91,0.1,2.16,1.42,None
94,4.9,0.1,2.64,3.01,None
95,7.09,0.2,75.46,154.65,None
95,6.57,0.3,2.07,7.93,None
95,6.55,0.3,2.2,9.42,None
95,6.2,0.2,2.41,6.45,None
95,6.18,0.3,2.79,9.65,None
96,8.13,0.1,1.98,2.57,None
96,7.21,0.1,18.86,14.35,None
96,7.09,0.1,14.79,11.54,None
96,6.96,0.1,12.52,7.73,None
96,6.57,0.2,1.34,2.86,None
96,6.55,0.2,1.3,2.88,None
96,6.52,0.1,1.2,1.18,None
96,6.2,0.1,2.28,1.99,None
96,6.19,0.1,1.22,0.99,None
96,6.19,0.1,1.25,0.93,None
97,8.13,0.2,2.26,5.32,None
97,7.22,0.2,22.64,38.08,None
97,7.1,0.2,36.4,110.59,None
97,6.98,0.2,23.07,42.79,None
97,6.57,0.5,1.48,9.75,None
97,6.55,0.5,1.46,9.77,None
98,8.14,0.1,2.55,2.42,None
98,6.57,0.2,1.47,2.9,None
98,6.55,0.2,1.47,2.88,None
98,6.52,0.1,1.64,1.14,None
98,6.2,0.1,2.52,2.39,None
98,6.19,0.1,2.2,1.63,None
98,4.91,0.1,2.56,1.93,None
98,4.9,0.1,2.95,2.1,None
98,4.89,0.1,1.79,1.05,None
98,4.88,0.1,2.06,3.31,None
98,4.87,0.1,2.38,4.14,None
98,4.82,0.3,1.8,5.98,None
98,4.82,0.1,1.81,2.97,None
98,4.81,0.3,2.35,7.58,None
98,4.76,0.1,1.88,3.52,None
98,4.76,0.1,1.67,2.12,None
98,4.75,0.1,2.2,4.56,None
99,8.15,0.1,2.21,2.97,None
99,7.22,0.1,30.55,20.23,None
99,7.1,0.1,52.84,69.55,None
99,6.99,0.1,32.23,18.57,None
99,6.58,0.2,1.42,4.07,None
99,6.56,0.2,1.36,3.89,None
99,6.53,0.4,1.46,7.38,None
99,6.21,0.1,2.15,2.34,None
99,6.2,0.1,1.82,2.13,None
100,6.2,0.2,2.17,5.41,None
100,6.19,0.2,2.13,5.21,None
111,3.5,0.6,2.45,17.18,None
111,3.3,2.2,5.9,154.8,None
122,3.51,0.3,2.45,8.77,None
124,3.5,0.7,2.48,20.68,None
125,3.51,1,2.45,30.28,None
127,3.5,0.5,2.32,14.89,None
128,3.57,0.1,1.09,0.74,None
129,3.51,0.6,2.43,18.59,None
133,2.21,0.1,3,3.38,None
136,3.5,0.6,2.47,18.44,None
139,4.36,0.1,2.01,1.63,None
139,4.35,0.1,1.95,3.01,None
139,4.33,0.1,2.05,1.58,None
139,3.86,0.1,134.54,86.67,None
139,3.51,2.4,1.94,57.73,None
141,3.5,0.4,2.69,14.87,None
142,3.5,0.6,2.57,18.02,None
145,3.54,0.2,52.82,120.13,None
145,3.51,4.9,1.96,116.85,None
146,3.51,0.1,3.87,4.9,None
146,3.49,0.1,3.92,5.48,None
147,3.51,0.5,2.68,15.17,None
148,3.51,1,2.62,33.25,None
148,3.48,0.1,9,16.81,None
150,2.95,0.1,1.92,2.32,None
150,2.95,0.1,1.83,1.4,None
151,3.51,1,2.27,27.09,None
152,3.51,0.8,2.45,23.2,None
155,3.5,0.6,2.45,19.32,None
156,3.6,0.1,130.39,75.38,None
157,3.51,0.7,2.13,18.18,None
158,3.51,0.4,2.41,12.33,None
159,3.53,0.1,120.27,94.98,None
159,3.51,0.6,1.86,15.72,None
159,3.49,0.2,5.68,16.84,None
160,3.5,0.5,2.45,14.02,None
18,3.48,0.1,3.69,3.92,None
18,3.47,0.1,1.65,1.25,None
19,4.03,0.1,3.78,3.44,None
23,3.5,0.8,3.06,29.77,None
24,3.5,0.7,2.45,22.75,None
27,3.58,0.1,114.42,193.96,None
27,3.57,0.1,0.99,0.62,None
27,3.51,0.2,1.84,4.05,None
27,3.5,0.1,2.74,1.83,None
27,3.49,0.2,3.83,9.33,None
27,3.47,0.2,3.49,8.46,None
27,3.46,0.2,5.85,12.82,None
27,2.96,0.1,1.69,1.25,None
27,2.95,0.1,1.73,1.9,None
27,2.95,0.1,1.77,1.35,None
28,2.96,0.1,1.82,2.09,None
28,2.95,0.1,1.75,2.79,None
28,2.95,0.1,1.98,2.24,None
31,3.5,0.7,2.68,22.66,None
37,6.2,0.4,2.15,8.95,None
37,6.19,0.4,2.5,11.52,None
37,5.65,0.1,3.45,3.32,None
38,6.2,0.3,2.34,7.09,None
38,6.19,0.3,2.2,6.72,None
39,6.2,0.4,2.55,11.8,None
39,6.19,0.4,2.34,9.91,None
40,5.11,0.1,10,8.39,None
40,4.91,0.2,2.32,6.64,None
40,4.9,0.3,2.83,11.72,None
40,4.89,0.2,2,4.3,None
40,4.88,0.4,2.27,12.18,None
40,4.87,0.4,2.2,11.95,None
40,4.85,0.1,6.14,4.75,None
40,4.84,0.1,3.33,3.29,None
40,4.82,1.1,2.57,36.92,None
40,4.81,1.1,2.4,33.75,None
40,4.76,0.6,3.49,27.24,None
40,4.75,0.3,2.37,7.39,None
41,4.91,0.2,2.2,4.92,None
41,4.9,0.3,2.86,10.33,None
41,4.89,0.2,1.92,4.11,None
41,4.88,0.4,2.21,10.98,None
41,4.87,0.4,2.32,11.63,None
42,4.91,0.2,2.33,4.91,None
42,4.9,0.3,2.95,9.57,None
42,4.89,0.2,1.99,3.78,None
42,4.88,0.3,2.55,9.5,None
42,4.87,0.3,2.32,8.71,None
42,4.82,1,2.64,31.34,None
42,4.81,1.1,2.83,40,None
43,4.57,0.1,1.65,1.93,None
43,4.42,0.1,1.78,1.15,None
43,4.34,0.1,1.71,1.39,None
43,4.33,0.1,2.68,3.36,None
44,4.91,0.1,2.08,2.4,None
44,4.9,0.1,2.53,4.24,None
44,4.89,0.1,1.72,1.87,None
44,4.88,0.2,2,4.46,None
44,4.87,0.2,2.08,4.88,None
44,4.82,0.5,1.67,11.86,None
44,4.82,0.2,1.66,5.1,None
44,4.81,0.6,2.08,14.49,None
44,4.76,0.2,1.53,3.31,None
44,4.76,0.2,2.1,7,None
44,4.75,0.2,1.74,3.62,None
44,4.75,0.2,1.75,4.41,None
44,4.74,0.2,1.62,4.78,None
73,1.91,0.1,1.84,1.26,None
74,1.91,0.1,1.23,1.01,None
