m/z,I,S/N,Res.
360.044436,1250501,4.1,601193
360.065484,1106634,3.5,698274
360.072793,1462732,5,480751
360.080795,1404622,4.8,460123
360.102045,1355220,4.6,456158
360.109084,1017558,3.2,524682
360.117198,1720280,6,505716
360.130079,1088475,3.5,722207
360.13106,2181084,7.9,516977
360.138354,1181918,3.8,614740
360.148727,1854432,6.6,469837
360.153627,1505250,5.2,612724
360.17785,2749416,10.3,467564
360.197211,1168365,3.8,647308
361.020371,4916424,19.1,473935
361.033557,1022667,3.2,561180
361.041385,1106893,3.5,550102
361.056742,12556497,50.3,470135
361.069834,1295829,4.3,481101
361.077921,2752215,10.3,531352
361.093194,13621467,54.7,467114
361.104491,1309662,4.4,459514
361.106275,1379551,4.7,461366
361.114353,2744033,10.2,464962
361.12952,11661541,46.7,473822
361.150633,1651435,5.8,484356
361.165906,8734959,34.7,480751
361.173162,1110769,3.6,561169
361.187057,1439476,4.9,485290
361.202309,1727736,6.1,527069
361.223344,1624830,5.7,581365
362.023892,1055830,3.3,463241
362.052021,1118046,3.6,409255
362.060129,1925088,6.9,478020
362.088409,1070823,3.4,532226
362.096506,3112426,11.7,470622
362.132932,2107892,7.6,404195
362.169231,1886205,6.7,501120
362.175837,1002495,3.1,529244
362.208851,1048328,3.2,435318
362.969903,1816792,6.3,594572
363.036022,9732842,38.1,467920
363.05122,1344751,4.4,477137
363.072377,16950004,67.1,462586
363.085524,1468152,4.9,574942
363.093488,1253882,4.1,555405
363.108827,19698430,78.2,474292
363.119994,1014529,3.1,546378
363.121929,1609474,5.5,460686
363.1452,15831816,62.6,471962
363.167543,1012750,3.1,236011
363.181575,8704786,34,476888
363.218048,1270044,4.1,424074
364.039411,1816576,6.3,582076
364.067821,1140744,3.6,477187
364.075758,3259403,12.1,513035
364.103949,1117202,3.5,491866
364.112152,3619861,13.6,442845
364.140414,1003036,3.1,603923
364.148532,2910239,10.7,533116
364.184925,1514281,5.1,436234
364.188053,4763690,18.2,478680
364.226288,2110005,7.5,512193
365.015284,3396883,12.7,499089
365.051694,15885597,62.8,480221
365.067004,1435681,4.8,588219
365.088074,20768038,82.4,468900
365.099192,1457706,4.9,457486
365.100981,1106091,3.5,421019
365.109046,1176109,3.7,614024
365.124417,21402930,85,470716
365.133483,1181492,3.8,560029
365.135651,1027764,3.2,418571
365.160846,15058236,59.5,462416
365.191491,1038916,3.2,525174
365.197204,6923590,26.8,488886
366.053603,1105466,3.5,593607
366.054988,2657339,9.7,477083
366.083398,1582659,5.4,500414
366.091469,3707461,13.9,483425
366.127783,4306512,16.3,474047
366.164164,3298906,12.3,562453
366.167381,1938011,6.8,498074
366.20056,1713764,5.9,481641
366.874094,1770279,6.1,535977
366.964868,27326274,108.8,460853
367.030955,7731029,30.1,458574
367.046201,2826073,10.4,541026
367.056954,1134172,3.6,587242
367.067349,22140768,88,469190
367.082538,1882980,6.6,509737
367.103674,25487210,101.4,472194
367.119159,1283182,4.2,338776
367.124688,1002352,3,664254
367.140127,21821300,86.7,468764
367.176495,10407807,40.8,453369
367.212831,2978186,11,468170
367.964426,4949094,18.9,489399
368.03429,1262459,4.1,561349
368.070661,3932293,14.8,477218
368.099009,1433742,4.8,405038
368.107093,4840592,18.5,502697
368.143435,3761307,14.1,481135
368.179805,1872038,6.5,543997
368.961768,4300174,16.3,472405
369.010173,1230748,4,536507
369.025479,2358177,8.5,415090
369.036086,1244580,4,522938
369.046618,11940263,47,470231
369.06186,4070828,15.4,489200
369.072502,2093999,7.4,505268
369.083002,21375410,84.9,467557
369.098247,2645431,9.6,458424
369.119337,22526396,89.5,455492
369.12749,5830080,22.4,471806
