m/z,Magnitude,S/N,Res.
149.864048,985856,3.5,1542917
149.864438,1647576,6.6,1245434
149.864745,1791912,7.3,604818
149.865225,1865632,7.7,403732
149.866021,1275808,4.9,359392
149.866312,1670136,6.7,905096
149.866611,1260284,4.8,1158630
149.867272,1534156,6.1,500007
149.867492,1178304,4.4,1374097
149.867734,1227988,4.7,1202010
149.868932,1168490,4.4,369553
149.869297,1828506,7.5,789777
149.869552,2881560,12.4,1144219
149.870069,1678352,6.8,1337418
149.870325,2492184,10.6,1147929
149.870494,1448320,5.7,1535071
149.870944,1709656,6.9,1078609
149.871351,1630968,6.6,983629
149.871629,2960100,12.8,877496
149.871934,2886896,12.4,1282860
149.872146,3030008,13.1,959003
149.872687,2136008,8.9,553479
149.873027,1565544,6.3,1540218
149.873625,2638136,11.3,691977
149.873846,2212392,9.3,1137979
149.874017,4307136,19.1,896011
149.874214,2858984,12.3,814197
149.874477,2785104,12,1236416
149.874749,3426824,15,1094940
149.875273,2441352,10.4,527987
149.875615,3737872,16.4,1196098
149.875881,2754376,11.8,1219516
149.876016,2992892,12.9,681799
149.876673,3532560,15.5,583133
149.876853,1465984,5.8,1914403
149.877154,4193896,18.6,763372
149.877505,2137176,8.9,438615
149.877688,5613680,25.2,1219145
149.877864,2726920,11.7,846896
149.878347,3937760,17.4,1051531
149.878506,2571520,11,1532102
149.878772,4505504,20,696627
149.879052,2379032,10.1,1485390
149.879331,1302236,5,1169252
149.879745,3907520,17.2,710364
149.880087,3106064,13.5,402440
149.880456,2186872,9.2,863109
149.880789,2803024,12.1,1211494
149.88096,3005960,13,1120242
149.88113,1634600,6.6,852561
149.881414,3470096,15.2,1272294
149.88179,2679634,11.5,517835
149.88215,3617048,15.9,561117
149.882782,2055176,8.5,980615
149.88302,2671744,11.4,1015384
149.883264,1920952,7.9,1301404
149.88363,3384784,14.8,1226406
149.883873,1358440,5.3,1441015
149.884095,2670264,11.4,879513
149.884495,2045752,8.5,894355
149.884675,2126944,8.9,1280930
149.885145,1988248,8.2,658083
149.885637,1696320,6.9,633825
149.885857,2055056,8.5,1099329
149.886328,2471616,10.5,922806
149.886843,2112120,8.8,1027559
149.887102,1405680,5.5,1209334
149.887301,1041729,3.8,536869
149.887846,1436256,5.7,884751
149.888087,920428,3.2,1564341
149.888571,1365440,5.3,1087785
149.888856,1059852,3.9,1128954
149.88926,1610020,6.5,1201105
149.889817,1556900,6.2,1188080
149.890381,1124228,4.2,1130090
149.89104,887268,3.1,1725845
149.891597,1759760,7.2,808987
149.891873,1320676,5.1,1504852
149.892053,1056202,3.9,1024555
149.892523,1073538,4,956882
149.89296,1020536,3.7,1354494
149.893133,1078896,4,1187432
149.893634,1021728,3.7,1437186
149.894183,1076976,4,427580
149.895561,1600092,6.4,559502
149.897714,1132076,4.2,595114
149.898418,1035048,3.8,830916
149.899708,1005780,3.6,1463202
149.900696,992524,3.6,336957
149.902764,929994,3.3,992066
149.903692,881015,3.1,786645
149.912172,948588,3.4,1101427
149.91914,954344,3.4,587165
149.91962,951138,3.4,1188326
150.451038,910802,3.2,1133841
150.845035,918461,3.2,1322293
150.875967,902193,3.2,1085282
150.876894,1209381,4.6,1403641
150.877562,1135473,4.2,1097979
150.879138,1129257,4.2,1210507
150.879463,1984949,8.2,984603
150.879884,1037014,3.8,831396
150.880238,1060025,3.9,1308723
150.880564,1545081,6.2,704287
150.881106,1436349,5.7,847528
150.881703,1069921,3.9,1426661
150.882675,1204889,4.6,771973
150.883102,1684305,6.8,776882
150.884289,1663033,6.7,1081075
150.88467,1168861,4.4,1124626
150.885103,1389317,5.4,1125826
150.885303,1792757,7.3,1342349
150.885976,1719757,7,925505
150.886282,1227463,4.7,707493
150.886526,1641133,6.6,1486638
150.886937,2185743,9.2,449671
150.887385,1869166,7.7,602702
150.888019,1633780,6.6,1283756
150.888355,1789276,7.3,575582
150.888518,1169452,4.4,1693664
150.888852,2066732,8.6,567133
150.889028,1853108,7.6,1396137
150.889198,2279645,9.6,1279010
150.889362,2890573,12.5,1503544
150.889513,1749244,7.1,1339393
150.889699,1246832,4.8,1407707
150.88987,1385948,5.4,1559701
150.890253,2974285,12.9,826256
150.890522,3858749,17,1083457
150.890724,1771068,7.2,1338084
150.890988,2566493,10.9,653677
150.891315,2314173,9.8,1295109
150.891591,2746701,11.8,725239
150.891962,3015693,13,1278126
150.892266,3773625,16.6,486248
150.892448,2200893,9.2,1165306
150.892814,3323661,14.5,603011
150.893229,3874181,17.1,638922
150.893435,3434925,15,1171711
150.893741,4314053,19.1,687314
150.893901,2479021,10.5,1249829
150.894129,2828325,12.2,717228
150.894318,2791213,12,1387373
150.894471,1976460,8.2,1548263
150.89472,3994285,17.6,978315
150.894878,3681597,16.2,787340
150.895283,2779857,11.9,544649
150.89577,3321005,14.5,424312
150.896015,3181109,13.8,749592
150.896243,1573660,6.3,1961787
150.896594,1538684,6.1,551473
150.896895,3645293,16,883378
150.897264,2691389,11.5,558189
150.897511,1845116,7.6,1308393
150.89772,1349244,5.2,868081
150.898143,2852429,12.3,1402046
150.89836,2016304,8.4,860139
150.89878,2277261,9.6,581521
150.899102,1842596,7.6,948324
150.89938,3430837,15,677861
150.90007,2770589,11.9,1244672
150.900249,1146868,4.3,1370790
150.900557,2780677,11.9,475628
150.901115,1224472,4.7,1085305
150.901639,1526052,6.1,554756
150.902018,1258852,4.8,1472809
150.902173,1530044,6.1,593825
150.903081,1274456,4.9,1376650
150.903239,1235564,4.7,1735145
150.903378,1409564,5.5,1611064
150.903856,1057832,3.9,1162415
150.904906,1570084,6.3,1478354
150.905565,1229278,4.7,604715
150.907256,901328,3.1,1361414
150.907909,977230,3.5,738094
150.909505,1111632,4.1,799321
150.910457,873936,3,1255678
150.912157,1053028,3.9,500760
150.915302,990858,3.6,1091302
151.547787,1230070,4.7,1335172
151.920621,13954937,64.3,1179094
152.265586,878819,3,1314180
152.335991,2744103,11.8,1328208
152.548811,886978,3.1,997533
152.963247,897501,3.1,1031549
153.129627,1033100,3.8,1346612
153.28248,875944,3,1421491
153.337645,871384,3,941922
153.359014,2572484,11,1159465
153.391179,920587,3.2,1329287
153.42336,1053455,3.9,1196837
153.42719,912407,3.2,654554
153.427856,6719700,30.4,1164848
153.42797,5536084,24.8,1190118
153.428634,1688515,6.8,1265033
153.429352,1308235,5.1,1321388
153.435632,8457523,38.5,1173798
153.439411,1042463,3.8,1230649
153.443334,3779091,16.6,1124901
153.445611,1032991,3.8,1244218
153.512323,1220011,4.6,1248275
153.523054,958195,3.4,1387008
153.67363,1867194,7.7,1180051
154.450878,88155312,411.6,1132826
155.262872,1002861,3.6,1104244
155.305365,891629,3.1,1468496
155.335165,924539,3.3,838710
155.346031,911601,3.2,955666
155.364348,1009529,3.7,938759
155.366147,894269,3.1,1176173
155.368609,982465,3.5,517172
155.374287,1060125,3.9,516406
155.374727,1049637,3.8,896339
155.376189,1303173,5,839228
155.377706,1124193,4.2,511801
155.378191,1222223,4.6,560298
155.378472,1444973,5.7,450865
155.379659,1114609,4.1,485851
155.379883,1419157,5.6,1206048
155.380165,963123,3.4,618896
155.380497,1160629,4.4,799639
155.380739,1931653,8,947276
155.38126,1569325,6.3,1347154
155.382168,1383665,5.4,276354
155.382555,1785029,7.3,620766
155.382975,2161277,9,950378
155.38354,1406449,5.5,815032
155.384077,2526493,10.8,894187
155.384311,1825661,7.5,1544965
155.384752,2058949,8.6,251154
155.385147,1924941,7.9,1335528
155.385334,2122909,8.9,463576
155.385847,2316933,9.8,881975
155.386043,2170989,9.1,1123682
155.386249,1749693,7.1,1139023
155.38645,1834685,7.5,531191
155.386789,2441917,10.4,866907
155.38717,1938621,8,967078
155.388081,3281501,14.3,577987
155.388462,2673837,11.4,888391
155.388842,2179301,9.1,806778
155.389045,2885933,12.4,1059206
155.389602,3533309,15.5,426015
155.389786,3215341,14,1237721
155.390085,1322589,5.1,1402551
155.390232,1451597,5.7,1768381
155.390383,2083965,8.7,1203367
155.390627,2107369,8.8,575335
155.39079,2243309,9.4,1412015
155.390936,2220653,9.3,627483
155.391335,2452333,10.4,546912
155.391716,1252797,4.8,1534849
155.392157,2751197,11.8,1137535
155.392373,2532845,10.8,1105729
155.392625,1303357,5,1453915
155.393397,2737629,11.7,443291
155.393762,1453313,5.7,782740
155.394131,2380141,10.1,709078
155.394524,1586509,6.4,1446919
155.394803,1678389,6.8,877270
155.395084,1347053,5.2,1068689
155.395518,1193421,4.5,1516884
155.395741,1584165,6.3,803285
155.396137,1472141,5.8,1163511
155.396337,1518157,6,1054053
155.396623,2000749,8.3,1076960
155.3969,1316029,5.1,1582035
155.397154,1834221,7.5,1358349
155.397833,1504069,6,905752
155.398333,1176693,4.4,1180001
