V1,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,V10,ppm.1,Intensity.1,Width.1,Area.1,Type.1,Flags.1,Impurity/Compound.1,Annotation.1,V19,ppm.2,Intensity.2,Width.2,Area.2,Type.2,Flags.2,Impurity/Compound.2,Annotation.2,V28,ppm.3,Intensity.3,Width.3,Area.3,Type.3,Flags.3,Impurity/Compound.3,Annotation.3,V37,ppm.4,Intensity.4,Width.4,Area.4,Type.4,Flags.4,Impurity/Compound.4,Annotation.4,V46,ppm.5,Intensity.5,Width.5,Area.5,Type.5,Flags.5,Impurity/Compound.5,Annotation.5,V55,ppm.6,Intensity.6,Width.6,Area.6,Type.6,Flags.6,Impurity/Compound.6,Annotation.6,V64,ppm.7,Intensity.7,Width.7,Area.7,Type.7,Flags.7,Impurity/Compound.7,Annotation.7,V73,ppm.8,Intensity.8,Width.8,Area.8,Type.8,Flags.8,Impurity/Compound.8,Annotation.8,V82,ppm.9,Intensity.9,Width.9,Area.9,Type.9,Flags.9,Impurity/Compound.9,Annotation.9,V91,ppm.10,Intensity.10,Width.10,Area.10,Type.10,Flags.10,Impurity/Compound.10,Annotation.10,V100,ppm.11,Intensity.11,Width.11,Area.11,Type.11,Flags.11,Impurity/Compound.11,Annotation.11,source,V109,ppm.12,Intensity.12,Width.12,Area.12,Type.12,Flags.12,Impurity/Compound.12,Annotation.12,v
11,6.99,0,6.42,2.34,Compound,None,NA,NA,36,3.41,0.1,3.76,4.25,Artifact,Weak,NA,NA,61,2.33,0.4,2.32,12.47,Solvent,Weak + C13_Sat,NA,NA,86,1.49,0,5.14,2.54,Compound,None,NA,NA,111,0.97,0,2.19,0.12,Artifact,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6.96,0.2,3.1,8.57,Compound,None,NA,NA,37,3.23,0,4.27,0.98,Artifact,Weak,NA,NA,62,2.32,0.3,2.17,7.54,Solvent,Weak + C13_Sat,NA,NA,87,1.47,0,2.6,0.43,Compound,None,NA,NA,112,0.89,0,4.05,1.04,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,6.52,0.1,2.57,2.92,Compound,None,NA,NA,38,3.22,0,0.48,0.03,Artifact,Weak,NA,NA,63,2.32,0.1,2.05,3.06,Solvent,Weak + C13_Sat,NA,NA,88,1.46,0,2.62,0.52,Compound,None,NA,NA,113,0.87,0,7,4.11,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,5.61,0,0.53,0.03,Artifact,Weak,NA,NA,39,3.21,0,2.47,0.69,Artifact,Weak,NA,NA,64,2.3,0,3.2,0.72,Compound,None,NA,NA,89,1.44,0,0.41,0.02,Artifact,Weak,NA,NA,114,0.86,0.1,2.16,1.58,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5.26,0,7.76,1.97,Compound,None,NA,NA,40,3.2,0,1.82,0.28,Artifact,Weak,NA,NA,65,2.28,0.1,6.39,4.52,Compound,None,NA,NA,90,1.42,0.1,6.58,7.31,Compound,None,NA,NA,115,0.85,0,3.16,1.34,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5.09,0,37.25,5.56,Compound,None,NA,NA,41,3.2,0,2.74,0.34,Artifact,Weak,NA,NA,66,2.27,0,4.18,1.29,Compound,None,NA,NA,91,1.4,0,3.12,0.39,Compound,None,NA,NA,116,0.84,0,4.03,2.24,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,4.41,0,6.22,0.89,Compound,None,NA,NA,42,3.19,0,1.86,0.28,Artifact,Weak,NA,NA,67,2.23,0,2.89,1.22,Compound,None,NA,NA,92,1.38,0.2,4.35,9.41,Compound,None,NA,NA,117,0.83,0,4.26,0.92,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,4.4,0,6.62,1.14,Compound,None,NA,NA,43,3.16,0,69.17,17.1,Artifact,Weak,NA,NA,68,2.21,0.1,2.57,2.49,Compound,None,NA,NA,93,1.32,0,3.9,1.44,Compound,None,NA,NA,118,0.82,0,40.87,9.45,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3.74,0,5.65,1.97,Compound,None,NA,NA,44,2.78,0,14.97,1.78,Compound,None,NA,NA,69,2.19,0,2.45,1.2,Compound,None,NA,NA,94,1.3,0,3.98,0.93,Compound,None,NA,NA,119,0.81,0,6.07,1.34,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3.72,0,4.64,1.66,Compound,None,NA,NA,45,2.77,0,7.73,2.1,Compound,None,NA,NA,70,2.18,0,2.63,0.32,Impurity,None,NA,NA,95,1.28,0,1.75,0.41,Compound,None,NA,NA,120,0.07,0,2.5,1.04,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3.66,0,3.39,0.56,Compound,None,NA,NA,46,2.76,0,7.94,0.93,Compound,None,NA,NA,71,2.18,0,3.02,0.53,Compound,None,NA,NA,96,1.27,0.1,10.13,6.61,Compound,None,NA,NA,121,-3.03,0,0.85,0.06,Artifact,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3.65,0,6.09,0.95,Compound,None,NA,NA,47,2.73,0,5.11,2.98,Compound,None,NA,NA,72,2.16,0,1.59,0.18,Impurity,Weak,NA,NA,97,1.25,0.4,6.52,32.56,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,3.64,0,1.86,0.22,Compound,None,NA,NA,48,2.72,0,4.18,1.83,Compound,None,NA,NA,73,2.15,0,0.76,0.06,Artifact,Weak,NA,NA,98,1.23,0.1,3.71,5.02,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3.57,0,1.62,0.94,Artifact,Weak,NA,NA,49,2.68,0.1,1.47,1.3,Solvent,Weak + C13_Sat,NA,NA,74,2.14,0,7.12,1.15,Compound,None,NA,NA,99,1.18,0,2.11,0.4,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3.57,0,0.99,0.08,Artifact,Weak,NA,NA,50,2.67,0.2,2.1,6.01,Solvent,Weak + C13_Sat,NA,NA,75,2.08,0,1.77,0.25,Impurity,None,NA,NA,100,1.14,0,4.23,2.55,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//32.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10.2,0,2.03,0.21,Impurity,Weak,NA,NA,28,3.48,0.2,3.81,10.55,Artifact,Weak,NA,NA,55,2.34,0.1,1.57,1.5,Solvent,Weak + C13_Sat,NA,NA,82,1.47,0,3.61,0.57,Impurity,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8.92,0,20.54,2.1,Compound,None,NA,NA,29,3.46,0.1,3.57,4.46,Artifact,Weak,NA,NA,56,2.33,0.3,2.32,8.02,Solvent,Weak + C13_Sat,NA,NA,83,1.42,0.1,7.63,6.98,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7.65,0,8.14,0.78,Artifact,Weak,NA,NA,30,3.44,0.2,4.06,9.47,Artifact,Weak,NA,NA,57,2.33,0.4,2.1,11.2,Solvent,Weak + C13_Sat,NA,NA,84,1.38,0.1,5.66,8.93,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7.62,0,30.29,9.62,Compound,None,NA,NA,31,3.43,0.1,164.37,145.46,Artifact,Weak,NA,NA,58,2.32,0.3,1.83,5.89,Solvent,Weak + C13_Sat,NA,NA,85,1.34,0,2.43,0.35,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7.24,0,5.9,1.05,Compound,None,NA,NA,32,3.42,0.2,3.5,7.81,Artifact,Weak,NA,NA,59,2.32,0.1,1.85,2.43,Solvent,Weak + C13_Sat,NA,NA,86,1.32,0,3.79,1.59,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7.22,0.2,4.58,10.75,Compound,None,NA,NA,33,3.42,0.1,3.4,6.48,Artifact,Weak,NA,NA,60,2.3,0,4.19,1.23,Compound,None,NA,NA,87,1.3,0,4.26,1.7,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7.11,0,5.67,1.64,Compound,None,NA,NA,34,3.41,0.1,2.9,3.91,Artifact,Weak,NA,NA,61,2.28,0.1,5.05,4.21,Compound,None,NA,NA,88,1.28,0,3.86,1.33,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7.09,0.2,4.17,9.84,Compound,None,NA,NA,35,3.4,0.1,3.59,5.4,Artifact,Weak,NA,NA,62,2.27,0,4.5,1.61,Compound,None,NA,NA,89,1.26,0.1,9.93,9.51,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6.96,0.2,4.3,9.74,Compound,None,NA,NA,36,3.24,0,4.29,0.35,Artifact,Weak,NA,NA,63,2.23,0,2.45,1.61,Compound,None,NA,NA,90,1.25,0.4,6.18,31.18,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6.52,0.1,2.18,3.38,Compound,None,NA,NA,37,3.23,0,3.87,1.31,Artifact,Weak,NA,NA,64,2.21,0.1,2.63,3.28,Compound,None,NA,NA,91,1.23,0.1,3.56,5.68,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,5.26,0,10.87,2.38,Compound,None,NA,NA,38,3.21,0,2.69,1.18,Artifact,Weak,NA,NA,65,2.19,0.1,2.7,1.8,Compound,None,NA,NA,92,1.19,0,2.28,0.34,Impurity,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5.09,0,37.48,5.16,Compound,None,NA,NA,39,3.2,0,1.92,0.2,Artifact,Weak,NA,NA,66,2.14,0,49.98,7.16,Compound,None,NA,NA,93,1.15,0,3.97,2.18,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4.42,0,2.8,0.5,Compound,None,NA,NA,40,3.19,0,1.2,0.09,Artifact,Weak,NA,NA,67,2.08,0,1.66,0.89,Compound,None,NA,NA,94,1.11,0,1.26,0.1,Compound,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4.41,0,6.57,2.13,Compound,None,NA,NA,41,2.77,0,16.98,7.55,Compound,None,NA,NA,68,2.06,0,30.62,9.08,Compound,None,NA,NA,95,1.11,0.1,1.62,2.37,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,4.4,0,2.35,0.35,Compound,None,NA,NA,42,2.73,0,9.09,5.1,Compound,None,NA,NA,69,2.04,0,12.46,2.67,Compound,None,NA,NA,96,1.04,1.6,3.68,64.73,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4.18,0,2.1,0.16,Artifact,Weak,NA,NA,43,2.72,0,5.46,1.56,Compound,None,NA,NA,70,1.91,0.1,1.44,1.69,Compound,None,NA,NA,97,1.03,1.7,4.07,82.9,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3.73,0,9.15,2.29,Compound,None,NA,NA,44,2.68,0.1,1.67,1.67,Solvent,Weak + C13_Sat,NA,NA,71,1.88,0,33.21,11.65,Compound,None,NA,NA,98,1.01,0.1,2.33,3.92,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3.72,0,6.88,1.76,Compound,None,NA,NA,45,2.67,0.3,2.17,7.14,Solvent,Weak + C13_Sat,NA,NA,72,1.87,0,0.46,0.04,Artifact,Weak,NA,NA,99,1,0,2.42,0.75,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3.66,0,2.96,0.47,Compound,None,NA,NA,46,2.67,0.4,2.26,12.94,Solvent,Weak + C13_Sat,NA,NA,73,1.85,0,23.41,3.67,Compound,None,NA,NA,100,1,0.2,2.32,4.5,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//33.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
