Mass,C,H,O,N,C13,S,P,Na,El_comp
139.9148464,0,0,0,0,0,0,0,0,
139.9149471,0,0,0,0,0,0,0,0,
139.9150683,0,0,0,0,0,0,0,0,
139.9151496,0,0,0,0,0,0,0,0,
139.9153007,0,0,0,0,0,0,0,0,
139.9154742,0,0,0,0,0,0,0,0,
139.9156143,0,0,0,0,0,0,0,0,
139.9157428,0,0,0,0,0,0,0,0,
139.9158819,0,0,0,0,0,0,0,0,
139.9159846,0,0,0,0,0,0,0,0,
139.9161555,0,0,0,0,0,0,0,0,
139.9162566,0,0,0,0,0,0,0,0,
139.9164073,0,0,0,0,0,0,0,0,
139.9165452,0,0,0,0,0,0,0,0,
139.9166986,0,0,0,0,0,0,0,0,
139.9168514,0,0,0,0,0,0,0,0,
139.9169319,0,0,0,0,0,0,0,0,
139.9170584,0,0,0,0,0,0,0,0,
139.9172045,0,0,0,0,0,0,0,0,
139.9173246,0,0,0,0,0,0,0,0,
139.9174456,0,0,0,0,0,0,0,0,
139.9176062,0,0,0,0,0,0,0,0,
139.9177676,0,0,0,0,0,0,0,0,
139.9179233,0,0,0,0,0,0,0,0,
139.9180143,0,0,0,0,0,0,0,0,
139.9181537,0,0,0,0,0,0,0,0,
139.9182523,0,0,0,0,0,0,0,0,
139.9183816,0,0,0,0,0,0,0,0,
139.9184759,0,0,0,0,0,0,0,0,
139.9186263,0,0,0,0,0,0,0,0,
139.9188106,0,0,0,0,0,0,0,0,
139.9189122,0,0,0,0,0,0,0,0,
139.9190306,0,0,0,0,0,0,0,0,
139.9191601,0,0,0,0,0,0,0,0,
139.9193202,0,0,0,0,0,0,0,0,
139.9194521,0,0,0,0,0,0,0,0,
139.9195696,0,0,0,0,0,0,0,0,
139.9197115,0,0,0,0,0,0,0,0,
139.9198142,0,0,0,0,0,0,0,0,
139.9199112,0,0,0,0,0,0,0,0,
139.9200495,0,0,0,0,0,0,0,0,
139.9201662,0,0,0,0,0,0,0,0,
139.9203047,0,0,0,0,0,0,0,0,
139.9204151,0,0,0,0,0,0,0,0,
139.9205435,0,0,0,0,0,0,0,0,
139.9206475,0,0,0,0,0,0,0,0,
139.9207474,0,0,0,0,0,0,0,0,
139.9209219,0,0,0,0,0,0,0,0,
139.9210755,0,0,0,0,0,0,0,0,
139.9211864,0,0,0,0,0,0,0,0,
139.92131,0,0,0,0,0,0,0,0,
139.9214009,0,0,0,0,0,0,0,0,
139.9215403,0,0,0,0,0,0,0,0,
139.9217084,0,0,0,0,0,0,0,0,
139.921851,0,0,0,0,0,0,0,0,
139.9220054,0,0,0,0,0,0,0,0,
139.9221519,0,0,0,0,0,0,0,0,
139.9222711,0,0,0,0,0,0,0,0,
139.922375,0,0,0,0,0,0,0,0,
139.9224953,0,0,0,0,0,0,0,0,
139.9226119,0,0,0,0,0,0,0,0,
139.9227423,0,0,0,0,0,0,0,0,
139.9228669,0,0,0,0,0,0,0,0,
139.9229693,0,0,0,0,0,0,0,0,
139.9231851,0,0,0,0,0,0,0,0,
139.9233033,0,0,0,0,0,0,0,0,
139.9234356,0,0,0,0,0,0,0,0,
139.9235987,0,0,0,0,0,0,0,0,
139.9237225,0,0,0,0,0,0,0,0,
139.9238199,0,0,0,0,0,0,0,0,
139.9239865,0,0,0,0,0,0,0,0,
139.9240726,0,0,0,0,0,0,0,0,
139.92417,0,0,0,0,0,0,0,0,
139.9243092,0,0,0,0,0,0,0,0,
139.9244485,0,0,0,0,0,0,0,0,
139.9245523,0,0,0,0,0,0,0,0,
139.9246895,0,0,0,0,0,0,0,0,
139.9247567,0,0,0,0,0,0,0,0,
139.9249823,0,0,0,0,0,0,0,0,
139.9251226,0,0,0,0,0,0,0,0,
139.9252255,0,0,0,0,0,0,0,0,
139.9253398,0,0,0,0,0,0,0,0,
139.9254302,0,0,0,0,0,0,0,0,
139.9255628,0,0,0,0,0,0,0,0,
139.9257043,0,0,0,0,0,0,0,0,
139.9258376,0,0,0,0,0,0,0,0,
139.9259787,0,0,0,0,0,0,0,0,
139.9261381,0,0,0,0,0,0,0,0,
139.9263841,0,0,0,0,0,0,0,0,
139.9265461,0,0,0,0,0,0,0,0,
139.926629,0,0,0,0,0,0,0,0,
139.9267631,0,0,0,0,0,0,0,0,
139.9269326,0,0,0,0,0,0,0,0,
139.9270694,0,0,0,0,0,0,0,0,
139.9271931,0,0,0,0,0,0,0,0,
139.9273123,0,0,0,0,0,0,0,0,
139.9274306,0,0,0,0,0,0,0,0,
139.9275289,0,0,0,0,0,0,0,0,
139.9276408,0,0,0,0,0,0,0,0,
139.9277711,0,0,0,0,0,0,0,0,
139.9279037,0,0,0,0,0,0,0,0,
139.9280297,0,0,0,0,0,0,0,0,
139.9281683,0,0,0,0,0,0,0,0,
139.928251,0,0,0,0,0,0,0,0,
139.9283521,0,0,0,0,0,0,0,0,
139.9285189,0,0,0,0,0,0,0,0,
139.9286435,0,0,0,0,0,0,0,0,
139.9287458,0,0,0,0,0,0,0,0,
139.9288709,0,0,0,0,0,0,0,0,
139.9290014,0,0,0,0,0,0,0,0,
139.929121,0,0,0,0,0,0,0,0,
139.9292579,0,0,0,0,0,0,0,0,
139.9293851,0,0,0,0,0,0,0,0,
139.9295063,0,0,0,0,0,0,0,0,
139.9295981,0,0,0,0,0,0,0,0,
139.9297694,0,0,0,0,0,0,0,0,
139.9299506,0,0,0,0,0,0,0,0,
139.9301256,0,0,0,0,0,0,0,0,
139.9302576,0,0,0,0,0,0,0,0,
139.9303637,0,0,0,0,0,0,0,0,
139.9304566,0,0,0,0,0,0,0,0,
139.9305763,0,0,0,0,0,0,0,0,
139.9307176,0,0,0,0,0,0,0,0,
139.9309153,0,0,0,0,0,0,0,0,
139.931095,0,0,0,0,0,0,0,0,
139.9312213,0,0,0,0,0,0,0,0,
139.9313523,0,0,0,0,0,0,0,0,
139.931496,0,0,0,0,0,0,0,0,
139.9316233,0,0,0,0,0,0,0,0,
139.9317577,0,0,0,0,0,0,0,0,
139.9318819,0,0,0,0,0,0,0,0,
139.9319813,0,0,0,0,0,0,0,0,
139.9320731,0,0,0,0,0,0,0,0,
139.9322081,0,0,0,0,0,0,0,0,
139.9324707,0,0,0,0,0,0,0,0,
139.932636,0,0,0,0,0,0,0,0,
139.9327637,0,0,0,0,0,0,0,0,
139.9329162,0,0,0,0,0,0,0,0,
139.9329945,0,0,0,0,0,0,0,0,
139.9331232,0,0,0,0,0,0,0,0,
139.9332638,0,0,0,0,0,0,0,0,
139.9333707,0,0,0,0,0,0,0,0,
139.9334907,0,0,0,0,0,0,0,0,
139.9336184,0,0,0,0,0,0,0,0,
139.9338619,0,0,0,0,0,0,0,0,
139.9339869,0,0,0,0,0,0,0,0,
139.9341104,0,0,0,0,0,0,0,0,
139.9342684,0,0,0,0,0,0,0,0,
139.934387,0,0,0,0,0,0,0,0,
139.9345288,0,0,0,0,0,0,0,0,
139.9346377,0,0,0,0,0,0,0,0,
139.9347558,0,0,0,0,0,0,0,0,
139.9349069,0,0,0,0,0,0,0,0,
139.9350081,0,0,0,0,0,0,0,0,
139.9351543,0,0,0,0,0,0,0,0,
139.9352936,0,0,0,0,0,0,0,0,
139.9353924,0,0,0,0,0,0,0,0,
139.9355389,0,0,0,0,0,0,0,0,
139.9357311,0,0,0,0,0,0,0,0,
139.9358926,0,0,0,0,0,0,0,0,
139.9360239,0,0,0,0,0,0,0,0,
139.9361472,0,0,0,0,0,0,0,0,
139.9363007,0,0,0,0,0,0,0,0,
139.936473,0,0,0,0,0,0,0,0,
139.9366477,0,0,0,0,0,0,0,0,
139.9368201,0,0,0,0,0,0,0,0,
139.9369007,0,0,0,0,0,0,0,0,
139.937037,0,0,0,0,0,0,0,0,
139.937153,0,0,0,0,0,0,0,0,
139.9372903,0,0,0,0,0,0,0,0,
139.9374857,0,0,0,0,0,0,0,0,
139.9375809,0,0,0,0,0,0,0,0,
139.9376742,0,0,0,0,0,0,0,0,
139.9377848,0,0,0,0,0,0,0,0,
139.9379241,0,0,0,0,0,0,0,0,
139.9380534,0,0,0,0,0,0,0,0,
139.9381637,0,0,0,0,0,0,0,0,
139.9382828,0,0,0,0,0,0,0,0,
139.9384798,0,0,0,0,0,0,0,0,
139.9385989,0,0,0,0,0,0,0,0,
139.9387322,0,0,0,0,0,0,0,0,
139.9388416,0,0,0,0,0,0,0,0,
139.9389495,0,0,0,0,0,0,0,0,
139.9391222,0,0,0,0,0,0,0,0,
139.9392376,0,0,0,0,0,0,0,0,
139.9394003,0,0,0,0,0,0,0,0,
139.9395133,0,0,0,0,0,0,0,0,
139.9396338,0,0,0,0,0,0,0,0,
139.9397517,0,0,0,0,0,0,0,0,
139.9399216,0,0,0,0,0,0,0,0,
139.9401181,0,0,0,0,0,0,0,0,
139.9402714,0,0,0,0,0,0,0,0,
139.9403685,0,0,0,0,0,0,0,0,
139.9404845,0,0,0,0,0,0,0,0,
139.9406039,0,0,0,0,0,0,0,0,
139.9407162,0,0,0,0,0,0,0,0,
139.9408875,0,0,0,0,0,0,0,0,
139.9410381,0,0,0,0,0,0,0,0,
139.9411748,0,0,0,0,0,0,0,0,
139.941282,0,0,0,0,0,0,0,0,
139.9414329,0,0,0,0,0,0,0,0,
139.9415527,0,0,0,0,0,0,0,0,
139.9416303,0,0,0,0,0,0,0,0,
139.9417006,0,0,0,0,0,0,0,0,
139.9418135,0,0,0,0,0,0,0,0,
139.9420026,0,0,0,0,0,0,0,0,
139.9421006,0,0,0,0,0,0,0,0,
139.9421871,0,0,0,0,0,0,0,0,
139.9422835,0,0,0,0,0,0,0,0,
139.9424501,0,0,0,0,0,0,0,0,
139.9425939,0,0,0,0,0,0,0,0,
139.9427077,0,0,0,0,0,0,0,0,
139.9428154,0,0,0,0,0,0,0,0,
139.9429872,0,0,0,0,0,0,0,0,
139.9430809,0,0,0,0,0,0,0,0,
139.9432096,0,0,0,0,0,0,0,0,
139.9433161,0,0,0,0,0,0,0,0,
139.9434566,0,0,0,0,0,0,0,0,
139.9436158,0,0,0,0,0,0,0,0,
139.9437296,0,0,0,0,0,0,0,0,
139.9438775,0,0,0,0,0,0,0,0,
139.9439615,0,0,0,0,0,0,0,0,
139.9441061,0,0,0,0,0,0,0,0,
139.9442077,0,0,0,0,0,0,0,0,
139.9443191,0,0,0,0,0,0,0,0,
139.944442,0,0,0,0,0,0,0,0,
139.9445698,0,0,0,0,0,0,0,0,
139.9446926,0,0,0,0,0,0,0,0,
139.9447917,0,0,0,0,0,0,0,0,
139.944912,0,0,0,0,0,0,0,0,
139.9450539,0,0,0,0,0,0,0,0,
139.9452078,0,0,0,0,0,0,0,0,
139.9453386,0,0,0,0,0,0,0,0,
139.9454381,0,0,0,0,0,0,0,0,
139.945521,0,0,0,0,0,0,0,0,
139.945659,0,0,0,0,0,0,0,0,
139.9457902,0,0,0,0,0,0,0,0,
139.945906,0,0,0,0,0,0,0,0,
139.946018,0,0,0,0,0,0,0,0,
139.9461506,0,0,0,0,0,0,0,0,
139.9462714,0,0,0,0,0,0,0,0,
139.9464033,0,0,0,0,0,0,0,0,
139.9465071,0,0,0,0,0,0,0,0,
139.9466634,0,0,0,0,0,0,0,0,
139.9467338,0,0,0,0,0,0,0,0,
139.9468384,0,0,0,0,0,0,0,0,
139.9469888,0,0,0,0,0,0,0,0,
139.9471024,0,0,0,0,0,0,0,0,
139.9472541,0,0,0,0,0,0,0,0,
139.9473328,0,0,0,0,0,0,0,0,
139.9475168,0,0,0,0,0,0,0,0,
139.947633,0,0,0,0,0,0,0,0,
139.9477351,0,0,0,0,0,0,0,0,
139.9478861,0,0,0,0,0,0,0,0,
139.9480539,0,0,0,0,0,0,0,0,
139.9481393,0,0,0,0,0,0,0,0,
139.9482845,0,0,0,0,0,0,0,0,
139.9484371,0,0,0,0,0,0,0,0,
139.9485092,0,0,0,0,0,0,0,0,
139.9486135,0,0,0,0,0,0,0,0,
139.9487813,0,0,0,0,0,0,0,0,
139.9489083,0,0,0,0,0,0,0,0,
139.949062,0,0,0,0,0,0,0,0,
139.949182,0,0,0,0,0,0,0,0,
139.9493445,0,0,0,0,0,0,0,0,
139.9495187,0,0,0,0,0,0,0,0,
139.9496757,0,0,0,0,0,0,0,0,
139.9497536,0,0,0,0,0,0,0,0,
139.9498856,0,0,0,0,0,0,0,0,
139.9500095,0,0,0,0,0,0,0,0,
139.9501639,0,0,0,0,0,0,0,0,
139.9503046,0,0,0,0,0,0,0,0,
139.9504201,0,0,0,0,0,0,0,0,
139.9505662,0,0,0,0,0,0,0,0,
139.9506942,0,0,0,0,0,0,0,0,
139.9508148,0,0,0,0,0,0,0,0,
139.9509639,0,0,0,0,0,0,0,0,
139.9510855,0,0,0,0,0,0,0,0,
