m/z,I,S/N,Res.
374.910216,1948947,7.6,583274
375.036095,3643934,15,507160
375.057276,1232800,4.4,574096
375.072499,4963362,20.9,513156
375.093539,1755428,6.7,507719
375.108825,5535269,23.4,554043
375.12995,1249703,4.5,611428
375.145232,4892713,20.5,568830
375.181596,2241580,8.8,535610
375.188853,944556,3.1,586026
376.03949,984955,3.3,843742
376.075797,1142783,4,673765
376.112189,1344386,4.9,489039
376.148653,1792901,6.9,634281
377.015325,1834710,7.1,603289
377.051775,5849818,24.8,516207
377.088133,6777053,28.9,504651
377.124454,7846112,33.6,535158
377.137315,934241,3.1,788450
377.160934,5937380,25.2,526975
377.197369,1747431,6.7,521331
378.055122,957175,3.2,521609
378.091416,1709883,6.5,583260
378.127916,1680702,6.4,562929
378.164254,1354817,4.9,561924
379.031056,3851155,15.9,541032
379.067376,8510870,36.5,562389
379.103779,9065882,39,526290
379.140171,9355677,40.2,500808
379.176538,5593505,23.6,605789
379.212844,1351460,4.9,574699
380.034504,1022065,3.5,697503
380.070823,1554165,5.8,608264
380.107095,1746168,6.7,606959
380.143514,1947132,7.5,503219
380.179949,921343,3,691821
380.29483,946570,3.1,562441
380.790163,982073,3.3,810808
380.980585,2118731,8.3,642049
381.045164,1444433,5.3,343650
381.046658,6697553,28.4,559705
381.07261,1137236,4,768367
381.081615,2230101,8.7,297340
381.08306,10466901,44.9,554247
381.117954,2061400,8,453758
381.11945,11268696,48.4,505020
381.154175,1891676,7.3,473523
381.155782,8327772,35.5,514858
381.192286,3733087,15.3,541813
381.23839,970852,3.2,577619
382.050016,1087281,3.7,614270
382.086344,1866420,7.2,619564
382.122803,2088888,8.1,649642
382.159211,1647291,6.2,645233
382.195558,951231,3.1,681120
383.025921,2111758,8.2,471500
383.041043,1011088,3.4,491817
383.062312,8207122,35,570712
383.077519,1160211,4.1,605711
383.098707,10325781,44.3,497804
383.113885,1035031,3.5,629481
383.135109,9783065,41.9,546789
383.150394,946202,3.1,707064
383.171458,5414684,22.7,568602
383.207907,1578784,5.9,629905
384.065632,1195890,4.2,449396
384.102062,2493814,9.9,631609
384.138382,1476217,5.4,285711
384.174797,1034493,3.5,714498
384.884654,3510209,14.4,512232
385.020458,1463758,5.4,827634
385.041619,3602896,14.8,524577
385.056843,2792914,11.2,578731
385.067754,994419,3.3,464159
385.077972,7900116,33.6,533046
385.093194,2018005,7.8,549320
385.11431,8025048,34.2,498749
385.129577,1620953,6.1,552301
385.142666,1095258,3.8,712307
385.150749,5686747,23.9,508059
385.166021,1116124,3.9,546963
385.187024,2179551,8.5,511966
385.209689,950113,3.1,317284
386.08115,1564469,5.8,480056
386.117644,1545017,5.7,672747
386.154216,1183933,4.2,507396
386.715404,1169267,4.1,561092
387.036063,2408595,9.5,466749
387.057218,3480725,14.2,535927
387.072407,2997142,12.1,474861
387.093625,4616856,19.2,529596
387.108899,2789530,11.2,588732
387.122111,1045019,3.5,621523
387.129996,3430556,14,615969
387.145296,2459549,9.8,534279
387.158248,927391,3,766782
387.166373,2335903,9.2,516586
387.181713,1338913,4.8,405943
387.225263,1103141,3.8,318290
388.060568,1176695,4.1,526344
388.925948,2707277,10.8,443555
389.015467,1170261,4.1,596345
389.051701,4370777,18,475114
389.072879,2105691,8.2,547239
389.088168,4730717,19.6,499583
389.10917,1834079,7,526102
389.124554,5043552,21,514328
389.145532,1032034,3.5,754604
389.160906,3285348,13.3,410853
389.197256,1858407,7.1,570305
389.20455,995944,3.3,486774
390.054984,1173309,4.1,585022
390.091679,1170624,4.1,727536
390.923098,966291,3.2,365095
391.031046,2864670,11.5,552316
391.067406,5785122,24.2,490957
391.10378,7025190,29.6,520922
